Cycle 329: Router 0, Element Input Buffer, Flit Flit 1
Cycle 330: Router 0, Element Input Buffer, Flit Flit 1
Cycle 331: Router 0, Element Input Buffer, Flit Flit 1
Cycle 332: Router 0, Element Input Buffer, Flit Flit 1
Cycle 333: Router 0, Element Input Buffer, Flit Flit 1
Cycle 334: Router 0, Element Input Buffer, Flit Flit 1
Cycle 335: Router 0, Element Input Buffer, Flit Flit 1
Cycle 336: Router 0, Element Input Buffer, Flit Flit 1
Cycle 337: Router 0, Element Input Buffer, Flit Flit 1
Cycle 338: Router 0, Element Input Buffer, Flit Flit 1
Cycle 339: Router 0, Element Input Buffer, Flit Flit 1
Cycle 340: Router 0, Element Input Buffer, Flit Flit 1
Cycle 341: Router 0, Element Input Buffer, Flit Flit 1
Cycle 342: Router 0, Element Input Buffer, Flit Flit 1
Cycle 343: Router 0, Element Input Buffer, Flit Flit 1
Cycle 344: Router 0, Element Input Buffer, Flit Flit 1
Cycle 345: Router 0, Element Input Buffer, Flit Flit 1
Cycle 346: Router 0, Element Input Buffer, Flit Flit 1
Cycle 347: Router 0, Element Input Buffer, Flit Flit 1
Cycle 348: Router 0, Element Input Buffer, Flit Flit 1
Cycle 349: Router 0, Element Input Buffer, Flit Flit 1
Cycle 350: Router 0, Element Input Buffer, Flit Flit 1
Cycle 351: Router 0, Element Input Buffer, Flit Flit 1
Cycle 352: Router 0, Element Input Buffer, Flit Flit 1
Cycle 353: Router 0, Element Input Buffer, Flit Flit 1
Cycle 354: Router 0, Element Input Buffer, Flit Flit 1
Cycle 355: Router 0, Element Input Buffer, Flit Flit 1
Cycle 356: Router 0, Element Input Buffer, Flit Flit 1
Cycle 357: Router 0, Element Input Buffer, Flit Flit 1
Cycle 358: Router 0, Element Input Buffer, Flit Flit 1
Cycle 359: Router 0, Element Input Buffer, Flit Flit 1
Cycle 360: Router 0, Element Input Buffer, Flit Flit 1
Cycle 361: Router 0, Element Input Buffer, Flit Flit 1
Cycle 362: Router 0, Element Input Buffer, Flit Flit 1
Cycle 363: Router 0, Element Input Buffer, Flit Flit 1
Cycle 364: Router 0, Element Input Buffer, Flit Flit 1
Cycle 365: Router 0, Element Input Buffer, Flit Flit 1
Cycle 366: Router 0, Element Input Buffer, Flit Flit 1
Cycle 367: Router 0, Element Input Buffer, Flit Flit 1
Cycle 368: Router 0, Element Input Buffer, Flit Flit 1
Cycle 369: Router 0, Element Input Buffer, Flit Flit 1
Cycle 370: Router 0, Element Input Buffer, Flit Flit 1
Cycle 371: Router 0, Element Input Buffer, Flit Flit 1
Cycle 372: Router 0, Element Input Buffer, Flit Flit 1
Cycle 373: Router 0, Element Input Buffer, Flit Flit 1
Cycle 374: Router 0, Element Input Buffer, Flit Flit 1
Cycle 375: Router 0, Element Input Buffer, Flit Flit 1
Cycle 376: Router 0, Element Input Buffer, Flit Flit 1
Cycle 377: Router 0, Element Input Buffer, Flit Flit 1
Cycle 378: Router 0, Element Input Buffer, Flit Flit 1
Cycle 379: Router 0, Element Input Buffer, Flit Flit 1
Cycle 380: Router 0, Element Input Buffer, Flit Flit 1
Cycle 381: Router 0, Element Input Buffer, Flit Flit 1
Cycle 382: Router 0, Element Input Buffer, Flit Flit 1
Cycle 383: Router 0, Element Input Buffer, Flit Flit 1
Cycle 384: Router 0, Element Input Buffer, Flit Flit 1
Cycle 385: Router 0, Element Input Buffer, Flit Flit 1
Cycle 386: Router 0, Element Input Buffer, Flit Flit 1
Cycle 387: Router 0, Element Input Buffer, Flit Flit 1
Cycle 388: Router 0, Element Input Buffer, Flit Flit 1
Cycle 389: Router 0, Element Input Buffer, Flit Flit 1
Cycle 390: Router 0, Element Input Buffer, Flit Flit 1
Cycle 391: Router 0, Element Input Buffer, Flit Flit 1
Cycle 392: Router 0, Element Input Buffer, Flit Flit 1
Cycle 393: Router 0, Element Input Buffer, Flit Flit 1
Cycle 394: Router 0, Element Input Buffer, Flit Flit 1
Cycle 395: Router 0, Element Input Buffer, Flit Flit 1
Cycle 396: Router 0, Element Input Buffer, Flit Flit 1
Cycle 397: Router 0, Element Input Buffer, Flit Flit 1
Cycle 398: Router 0, Element Input Buffer, Flit Flit 1
Cycle 399: Router 0, Element Input Buffer, Flit Flit 1
Cycle 400: Router 0, Element Input Buffer, Flit Flit 1
Cycle 401: Router 0, Element Input Buffer, Flit Flit 1
Cycle 402: Router 0, Element Input Buffer, Flit Flit 1
Cycle 403: Router 0, Element Input Buffer, Flit Flit 1
Cycle 404: Router 0, Element Input Buffer, Flit Flit 1
Cycle 405: Router 0, Element Input Buffer, Flit Flit 1
Cycle 406: Router 0, Element Input Buffer, Flit Flit 1
Cycle 407: Router 0, Element Input Buffer, Flit Flit 1
Cycle 408: Router 0, Element Input Buffer, Flit Flit 1
Cycle 409: Router 0, Element Input Buffer, Flit Flit 1
Cycle 410: Router 0, Element Input Buffer, Flit Flit 1
Cycle 411: Router 0, Element Input Buffer, Flit Flit 1
Cycle 412: Router 0, Element Input Buffer, Flit Flit 1
Cycle 413: Router 0, Element Input Buffer, Flit Flit 1
Cycle 414: Router 0, Element Input Buffer, Flit Flit 1
Cycle 415: Router 0, Element Input Buffer, Flit Flit 1
Cycle 416: Router 0, Element Input Buffer, Flit Flit 1
Cycle 417: Router 0, Element Input Buffer, Flit Flit 1
Cycle 418: Router 0, Element Input Buffer, Flit Flit 1
Cycle 419: Router 0, Element Input Buffer, Flit Flit 1
Cycle 420: Router 0, Element Input Buffer, Flit Flit 1
Cycle 421: Router 0, Element Input Buffer, Flit Flit 1
Cycle 422: Router 0, Element Input Buffer, Flit Flit 1
Cycle 423: Router 0, Element Input Buffer, Flit Flit 1
Cycle 424: Router 0, Element Input Buffer, Flit Flit 1
Cycle 425: Router 0, Element Input Buffer, Flit Flit 1
Cycle 426: Router 0, Element Input Buffer, Flit Flit 1
Cycle 427: Router 0, Element Input Buffer, Flit Flit 1
Cycle 428: Router 0, Element Input Buffer, Flit Flit 1
Cycle 429: Router 0, Element Input Buffer, Flit Flit 1
Cycle 430: Router 0, Element Input Buffer, Flit Flit 1
Cycle 431: Router 0, Element Input Buffer, Flit Flit 1
Cycle 432: Router 0, Element Input Buffer, Flit Flit 1
Cycle 433: Router 0, Element Input Buffer, Flit Flit 1
Cycle 434: Router 0, Element Input Buffer, Flit Flit 1
Cycle 435: Router 0, Element Input Buffer, Flit Flit 1
Cycle 436: Router 0, Element Input Buffer, Flit Flit 1
Cycle 437: Router 0, Element Input Buffer, Flit Flit 1
Cycle 438: Router 0, Element Input Buffer, Flit Flit 1
Cycle 439: Router 0, Element Input Buffer, Flit Flit 1
Cycle 440: Router 0, Element Input Buffer, Flit Flit 1
Cycle 441: Router 0, Element Input Buffer, Flit Flit 1
Cycle 442: Router 0, Element Input Buffer, Flit Flit 1
Cycle 443: Router 0, Element Input Buffer, Flit Flit 1
Cycle 444: Router 0, Element Input Buffer, Flit Flit 1
Cycle 445: Router 0, Element Input Buffer, Flit Flit 1
Cycle 446: Router 0, Element Input Buffer, Flit Flit 1
Cycle 447: Router 0, Element Input Buffer, Flit Flit 1
Cycle 448: Router 0, Element Input Buffer, Flit Flit 1
Cycle 449: Router 0, Element Input Buffer, Flit Flit 1
Cycle 450: Router 0, Element Input Buffer, Flit Flit 1
Cycle 451: Router 0, Element Input Buffer, Flit Flit 1
Cycle 452: Router 0, Element Input Buffer, Flit Flit 1
Cycle 453: Router 0, Element Input Buffer, Flit Flit 1
Cycle 454: Router 0, Element Input Buffer, Flit Flit 1
Cycle 455: Router 0, Element Input Buffer, Flit Flit 1
Cycle 456: Router 0, Element Input Buffer, Flit Flit 1
Cycle 457: Router 0, Element Input Buffer, Flit Flit 1
Cycle 458: Router 0, Element Input Buffer, Flit Flit 1
Cycle 459: Router 0, Element Input Buffer, Flit Flit 1
Cycle 460: Router 0, Element Input Buffer, Flit Flit 1
Cycle 461: Router 0, Element Input Buffer, Flit Flit 1
Cycle 462: Router 0, Element Input Buffer, Flit Flit 1
Cycle 463: Router 0, Element Input Buffer, Flit Flit 1
Cycle 464: Router 0, Element Input Buffer, Flit Flit 1
Cycle 465: Router 0, Element Input Buffer, Flit Flit 1
